Fecha,Hora,Ciudad,Apiario,Colmena,Tempertura
2020-10-05,00:00:00,Trelew,"Chacra 1234 - Luteria",C1,36.49
2020-10-05,01:00:00,Trelew,"Chacra 1234 - Luteria",C1,36.59
2020-10-05,02:00:00,Trelew,"Chacra 1234 - Luteria",C1,36.38
2020-10-05,03:00:00,Trelew,"Chacra 1234 - Luteria",C1,34.36
2020-10-05,04:00:00,Trelew,"Chacra 1234 - Luteria",C1,35.73
2020-10-06,00:00:00,Trelew,"Chacra 1234 - Luteria",C1,35.29
2020-10-06,01:00:00,Trelew,"Chacra 1234 - Luteria",C1,36.55
2020-10-06,02:00:00,Trelew,"Chacra 1234 - Luteria",C1,35.80
2020-10-06,03:00:00,Trelew,"Chacra 1234 - Luteria",C1,36.89
2020-10-06,04:00:00,Trelew,"Chacra 1234 - Luteria",C1,35.81
2020-10-07,00:00:00,Trelew,"Chacra 1234 - Luteria",C1,36.39
2020-10-07,01:00:00,Trelew,"Chacra 1234 - Luteria",C1,35.68
2020-10-07,02:00:00,Trelew,"Chacra 1234 - Luteria",C1,35.81
2020-10-07,03:00:00,Trelew,"Chacra 1234 - Luteria",C1,35.00
2020-10-07,04:00:00,Trelew,"Chacra 1234 - Luteria",C1,35.07
2020-10-08,00:00:00,Trelew,"Chacra 1234 - Luteria",C1,34.87
2020-10-08,01:00:00,Trelew,"Chacra 1234 - Luteria",C1,34.61
2020-10-08,02:00:00,Trelew,"Chacra 1234 - Luteria",C1,36.23
2020-10-08,03:00:00,Trelew,"Chacra 1234 - Luteria",C1,34.58
2020-10-08,04:00:00,Trelew,"Chacra 1234 - Luteria",C1,36.95
2020-10-09,00:00:00,Trelew,"Chacra 1234 - Luteria",C1,35.21
2020-10-09,01:00:00,Trelew,"Chacra 1234 - Luteria",C1,33.15
2020-10-09,01:00:00,Trelew,"Chacra 1234 - Luteria",C1,36.89
2020-10-09,02:00:00,Trelew,"Chacra 1234 - Luteria",C1,34.76
2020-10-09,03:00:00,Trelew,"Chacra 1234 - Luteria",C1,34.41
2020-10-09,04:00:00,Trelew,"Chacra 1234 - Luteria",C1,35.52
2020-10-10,00:00:00,Trelew,"Chacra 1234 - Luteria",C1,34.51
2020-10-10,01:00:00,Trelew,"Chacra 1234 - Luteria",C1,36.30
2020-10-10,02:00:00,Trelew,"Chacra 1234 - Luteria",C1,36.04
2020-10-10,03:00:00,Trelew,"Chacra 1234 - Luteria",C1,35.62
2020-10-10,04:00:00,Trelew,"Chacra 1234 - Luteria",C1,36.30
2020-10-11,00:00:00,Trelew,"Chacra 1234 - Luteria",C1,34.90
2020-10-11,01:00:00,Trelew,"Chacra 1234 - Luteria",C1,35.96
2020-10-11,02:00:00,Trelew,"Chacra 1234 - Luteria",C1,36.76
2020-10-11,03:00:00,Trelew,"Chacra 1234 - Luteria",C1,34.47
2020-10-11,04:00:00,Trelew,"Chacra 1234 - Luteria",C1,35.78
2020-10-12,00:00:00,Trelew,"Chacra 1234 - Luteria",C1,35.45
2020-10-12,01:00:00,Trelew,"Chacra 1234 - Luteria",C1,35.44
2020-10-12,02:00:00,Trelew,"Chacra 1234 - Luteria",C1,34.05
2020-10-12,03:00:00,Trelew,"Chacra 1234 - Luteria",C1,34.50
2020-10-12,04:00:00,Trelew,"Chacra 1234 - Luteria",C1,35.82
2020-10-13,00:00:00,Trelew,"Chacra 1234 - Luteria",C1,36.54
2020-10-13,01:00:00,Trelew,"Chacra 1234 - Luteria",C1,35.69
2020-10-13,02:00:00,Trelew,"Chacra 1234 - Luteria",C1,35.48
2020-10-13,03:00:00,Trelew,"Chacra 1234 - Luteria",C1,35.19
2020-10-13,04:00:00,Trelew,"Chacra 1234 - Luteria",C1,34.08
2020-10-14,00:00:00,Trelew,"Chacra 1234 - Luteria",C1,35.91
2020-10-14,01:00:00,Trelew,"Chacra 1234 - Luteria",C1,36.29
2020-10-14,02:00:00,Trelew,"Chacra 1234 - Luteria",C1,34.86
2020-10-14,03:00:00,Trelew,"Chacra 1234 - Luteria",C1,34.99
2020-10-14,04:00:00,Trelew,"Chacra 1234 - Luteria",C1,34.67
2020-10-15,00:00:00,Trelew,"Chacra 1234 - Luteria",C1,36.87
2020-10-15,01:00:00,Trelew,"Chacra 1234 - Luteria",C1,34.08
2020-10-15,02:00:00,Trelew,"Chacra 1234 - Luteria",C1,36.69
2020-10-15,03:00:00,Trelew,"Chacra 1234 - Luteria",C1,35.23
2020-10-15,04:00:00,Trelew,"Chacra 1234 - Luteria",C1,36.69
2020-10-16,00:00:00,Trelew,"Chacra 1234 - Luteria",C1,36.23
2020-10-16,01:00:00,Trelew,"Chacra 1234 - Luteria",C1,36.36
2020-10-16,02:00:00,Trelew,"Chacra 1234 - Luteria",C1,35.64
2020-10-16,03:00:00,Trelew,"Chacra 1234 - Luteria",C1,35.07
2020-10-16,04:00:00,Trelew,"Chacra 1234 - Luteria",C1,34.27
2020-10-17,00:00:00,Trelew,"Chacra 1234 - Luteria",C1,36.53
2020-10-17,01:00:00,Trelew,"Chacra 1234 - Luteria",C1,35.66
2020-10-17,02:00:00,Trelew,"Chacra 1234 - Luteria",C1,35.69
2020-10-17,03:00:00,Trelew,"Chacra 1234 - Luteria",C1,35.06
2020-10-17,04:00:00,Trelew,"Chacra 1234 - Luteria",C1,35.51
2020-10-18,00:00:00,Trelew,"Chacra 1234 - Luteria",C1,31.83
2020-10-18,00:00:00,Trelew,"Chacra 1234 - Luteria",C1,34.20
2020-10-18,01:00:00,Trelew,"Chacra 1234 - Luteria",C1,35.02
2020-10-18,02:00:00,Trelew,"Chacra 1234 - Luteria",C1,35.21
2020-10-18,03:00:00,Trelew,"Chacra 1234 - Luteria",C1,36.93
2020-10-18,04:00:00,Trelew,"Chacra 1234 - Luteria",C1,35.99
2020-10-19,00:00:00,Trelew,"Chacra 1234 - Luteria",C1,34.67
2020-10-19,01:00:00,Trelew,"Chacra 1234 - Luteria",C1,35.96
2020-10-19,02:00:00,Trelew,"Chacra 1234 - Luteria",C1,35.10
2020-10-19,03:00:00,Trelew,"Chacra 1234 - Luteria",C1,35.97
2020-10-19,04:00:00,Trelew,"Chacra 1234 - Luteria",C1,36.41
2020-10-20,00:00:00,Trelew,"Chacra 1234 - Luteria",C1,34.75
2020-10-20,01:00:00,Trelew,"Chacra 1234 - Luteria",C1,36.26
2020-10-20,02:00:00,Trelew,"Chacra 1234 - Luteria",C1,34.48
2020-10-20,03:00:00,Trelew,"Chacra 1234 - Luteria",C1,34.14
2020-10-20,04:00:00,Trelew,"Chacra 1234 - Luteria",C1,35.63
2020-10-21,00:00:00,Trelew,"Chacra 1234 - Luteria",C1,35.76
2020-10-21,01:00:00,Trelew,"Chacra 1234 - Luteria",C1,35.81
2020-10-21,02:00:00,Trelew,"Chacra 1234 - Luteria",C1,35.69
2020-10-21,03:00:00,Trelew,"Chacra 1234 - Luteria",C1,34.58
2020-10-21,04:00:00,Trelew,"Chacra 1234 - Luteria",C1,35.61
2020-10-22,00:00:00,Trelew,"Chacra 1234 - Luteria",C1,35.50
2020-10-22,01:00:00,Trelew,"Chacra 1234 - Luteria",C1,34.31
2020-10-22,02:00:00,Trelew,"Chacra 1234 - Luteria",C1,34.34
2020-10-22,03:00:00,Trelew,"Chacra 1234 - Luteria",C1,34.85
2020-10-22,04:00:00,Trelew,"Chacra 1234 - Luteria",C1,35.19
2020-10-23,00:00:00,Trelew,"Chacra 1234 - Luteria",C1,36.82
2020-10-23,01:00:00,Trelew,"Chacra 1234 - Luteria",C1,35.57
2020-10-23,02:00:00,Trelew,"Chacra 1234 - Luteria",C1,34.68
2020-10-23,03:00:00,Trelew,"Chacra 1234 - Luteria",C1,34.37
2020-10-23,04:00:00,Trelew,"Chacra 1234 - Luteria",C1,36.04
2020-10-24,00:00:00,Trelew,"Chacra 1234 - Luteria",C1,36.28
2020-10-24,01:00:00,Trelew,"Chacra 1234 - Luteria",C1,36.83
2020-10-24,02:00:00,Trelew,"Chacra 1234 - Luteria",C1,35.71
2020-10-24,03:00:00,Trelew,"Chacra 1234 - Luteria",C1,34.51
2020-10-24,04:00:00,Trelew,"Chacra 1234 - Luteria",C1,35.99
2020-10-25,00:00:00,Trelew,"Chacra 1234 - Luteria",C1,35.92
2020-10-25,01:00:00,Trelew,"Chacra 1234 - Luteria",C1,35.71
2020-10-25,02:00:00,Trelew,"Chacra 1234 - Luteria",C1,36.17
2020-10-25,03:00:00,Trelew,"Chacra 1234 - Luteria",C1,36.32
2020-10-25,04:00:00,Trelew,"Chacra 1234 - Luteria",C1,34.89
2020-10-26,00:00:00,Trelew,"Chacra 1234 - Luteria",C1,36.98
2020-10-26,01:00:00,Trelew,"Chacra 1234 - Luteria",C1,35.58
2020-10-26,02:00:00,Trelew,"Chacra 1234 - Luteria",C1,35.07
2020-10-26,03:00:00,Trelew,"Chacra 1234 - Luteria",C1,35.69
2020-10-26,04:00:00,Trelew,"Chacra 1234 - Luteria",C1,35.87
2020-10-27,00:00:00,Trelew,"Chacra 1234 - Luteria",C1,34.36
2020-10-27,01:00:00,Trelew,"Chacra 1234 - Luteria",C1,36.25
2020-10-27,02:00:00,Trelew,"Chacra 1234 - Luteria",C1,35.12
2020-10-27,03:00:00,Trelew,"Chacra 1234 - Luteria",C1,34.03
2020-10-27,04:00:00,Trelew,"Chacra 1234 - Luteria",C1,36.32
2020-10-28,00:00:00,Trelew,"Chacra 1234 - Luteria",C1,34.25
2020-10-28,01:00:00,Trelew,"Chacra 1234 - Luteria",C1,36.57
2020-10-28,02:00:00,Trelew,"Chacra 1234 - Luteria",C1,34.28
2020-10-28,03:00:00,Trelew,"Chacra 1234 - Luteria",C1,34.29
2020-10-28,04:00:00,Trelew,"Chacra 1234 - Luteria",C1,36.84
2020-10-29,00:00:00,Trelew,"Chacra 1234 - Luteria",C1,34.60
2020-10-29,01:00:00,Trelew,"Chacra 1234 - Luteria",C1,34.95
2020-10-29,02:00:00,Trelew,"Chacra 1234 - Luteria",C1,35.06
2020-10-29,03:00:00,Trelew,"Chacra 1234 - Luteria",C1,35.27
2020-10-29,04:00:00,Trelew,"Chacra 1234 - Luteria",C1,35.99
2020-10-30,00:00:00,Trelew,"Chacra 1234 - Luteria",C1,36.81
2020-10-30,01:00:00,Trelew,"Chacra 1234 - Luteria",C1,34.91
2020-10-30,02:00:00,Trelew,"Chacra 1234 - Luteria",C1,36.03
2020-10-30,03:00:00,Trelew,"Chacra 1234 - Luteria",C1,36.95
2020-10-30,04:00:00,Trelew,"Chacra 1234 - Luteria",C1,36.28
2020-10-31,00:00:00,Trelew,"Chacra 1234 - Luteria",C1,34.39
2020-10-31,01:00:00,Trelew,"Chacra 1234 - Luteria",C1,35.91
2020-10-31,02:00:00,Trelew,"Chacra 1234 - Luteria",C1,34.14
2020-10-31,03:00:00,Trelew,"Chacra 1234 - Luteria",C1,35.19
2020-10-31,04:00:00,Trelew,"Chacra 1234 - Luteria",C1,35.66
2020-10-05,00:00:00,Trelew,"Chacra 1234 - Luteria",C2,33.73
2020-10-05,00:00:00,Trelew,"Chacra 1234 - Luteria",C2,35.64
2020-10-05,01:00:00,Trelew,"Chacra 1234 - Luteria",C2,35.43
2020-10-05,02:00:00,Trelew,"Chacra 1234 - Luteria",C2,34.53
2020-10-05,03:00:00,Trelew,"Chacra 1234 - Luteria",C2,35.73
2020-10-05,04:00:00,Trelew,"Chacra 1234 - Luteria",C2,36.74
2020-10-06,00:00:00,Trelew,"Chacra 1234 - Luteria",C2,36.28
2020-10-06,01:00:00,Trelew,"Chacra 1234 - Luteria",C2,35.17
2020-10-06,02:00:00,Trelew,"Chacra 1234 - Luteria",C2,36.61
2020-10-06,03:00:00,Trelew,"Chacra 1234 - Luteria",C2,35.61
2020-10-06,04:00:00,Trelew,"Chacra 1234 - Luteria",C2,34.24
2020-10-07,00:00:00,Trelew,"Chacra 1234 - Luteria",C2,36.34
2020-10-07,01:00:00,Trelew,"Chacra 1234 - Luteria",C2,35.72
2020-10-07,02:00:00,Trelew,"Chacra 1234 - Luteria",C2,35.15
2020-10-07,03:00:00,Trelew,"Chacra 1234 - Luteria",C2,36.57
2020-10-07,04:00:00,Trelew,"Chacra 1234 - Luteria",C2,36.72
2020-10-08,00:00:00,Trelew,"Chacra 1234 - Luteria",C2,35.22
2020-10-08,01:00:00,Trelew,"Chacra 1234 - Luteria",C2,35.37
2020-10-08,02:00:00,Trelew,"Chacra 1234 - Luteria",C2,36.87
2020-10-08,03:00:00,Trelew,"Chacra 1234 - Luteria",C2,36.46
2020-10-08,04:00:00,Trelew,"Chacra 1234 - Luteria",C2,35.01
2020-10-09,00:00:00,Trelew,"Chacra 1234 - Luteria",C2,35.15
2020-10-09,01:00:00,Trelew,"Chacra 1234 - Luteria",C2,35.37
2020-10-09,02:00:00,Trelew,"Chacra 1234 - Luteria",C2,36.05
2020-10-09,03:00:00,Trelew,"Chacra 1234 - Luteria",C2,35.75
2020-10-09,04:00:00,Trelew,"Chacra 1234 - Luteria",C2,34.70
2020-10-10,00:00:00,Trelew,"Chacra 1234 - Luteria",C2,27.24
2020-10-10,00:00:00,Trelew,"Chacra 1234 - Luteria",C2,36.67
2020-10-10,01:00:00,Trelew,"Chacra 1234 - Luteria",C2,34.90
2020-10-10,02:00:00,Trelew,"Chacra 1234 - Luteria",C2,35.68
2020-10-10,03:00:00,Trelew,"Chacra 1234 - Luteria",C2,34.20
2020-10-10,04:00:00,Trelew,"Chacra 1234 - Luteria",C2,35.61
2020-10-11,00:00:00,Trelew,"Chacra 1234 - Luteria",C2,34.84
2020-10-11,01:00:00,Trelew,"Chacra 1234 - Luteria",C2,36.17
2020-10-11,02:00:00,Trelew,"Chacra 1234 - Luteria",C2,36.19
2020-10-11,03:00:00,Trelew,"Chacra 1234 - Luteria",C2,35.34
2020-10-11,04:00:00,Trelew,"Chacra 1234 - Luteria",C2,35.24
2020-10-12,00:00:00,Trelew,"Chacra 1234 - Luteria",C2,35.24
2020-10-12,01:00:00,Trelew,"Chacra 1234 - Luteria",C2,36.69
2020-10-12,02:00:00,Trelew,"Chacra 1234 - Luteria",C2,35.64
2020-10-12,03:00:00,Trelew,"Chacra 1234 - Luteria",C2,34.97
2020-10-12,04:00:00,Trelew,"Chacra 1234 - Luteria",C2,34.33
2020-10-13,00:00:00,Trelew,"Chacra 1234 - Luteria",C2,34.57
2020-10-13,01:00:00,Trelew,"Chacra 1234 - Luteria",C2,35.79
2020-10-13,02:00:00,Trelew,"Chacra 1234 - Luteria",C2,36.72
2020-10-13,03:00:00,Trelew,"Chacra 1234 - Luteria",C2,35.48
2020-10-13,04:00:00,Trelew,"Chacra 1234 - Luteria",C2,36.04
2020-10-14,00:00:00,Trelew,"Chacra 1234 - Luteria",C2,36.78
2020-10-14,01:00:00,Trelew,"Chacra 1234 - Luteria",C2,34.11
2020-10-14,02:00:00,Trelew,"Chacra 1234 - Luteria",C2,36.80
2020-10-14,03:00:00,Trelew,"Chacra 1234 - Luteria",C2,34.30
2020-10-14,04:00:00,Trelew,"Chacra 1234 - Luteria",C2,34.51
2020-10-15,00:00:00,Trelew,"Chacra 1234 - Luteria",C2,34.09
2020-10-15,01:00:00,Trelew,"Chacra 1234 - Luteria",C2,34.48
2020-10-15,02:00:00,Trelew,"Chacra 1234 - Luteria",C2,36.05
2020-10-15,03:00:00,Trelew,"Chacra 1234 - Luteria",C2,35.27
2020-10-15,04:00:00,Trelew,"Chacra 1234 - Luteria",C2,36.97
2020-10-16,00:00:00,Trelew,"Chacra 1234 - Luteria",C2,35.44
2020-10-16,01:00:00,Trelew,"Chacra 1234 - Luteria",C2,34.06
2020-10-16,02:00:00,Trelew,"Chacra 1234 - Luteria",C2,34.49
2020-10-16,03:00:00,Trelew,"Chacra 1234 - Luteria",C2,35.11
2020-10-16,04:00:00,Trelew,"Chacra 1234 - Luteria",C2,35.65
2020-10-17,00:00:00,Trelew,"Chacra 1234 - Luteria",C2,34.45
2020-10-17,01:00:00,Trelew,"Chacra 1234 - Luteria",C2,34.80
2020-10-17,02:00:00,Trelew,"Chacra 1234 - Luteria",C2,34.82
2020-10-17,03:00:00,Trelew,"Chacra 1234 - Luteria",C2,34.17
2020-10-17,04:00:00,Trelew,"Chacra 1234 - Luteria",C2,35.50
2020-10-18,00:00:00,Trelew,"Chacra 1234 - Luteria",C2,35.19
2020-10-18,01:00:00,Trelew,"Chacra 1234 - Luteria",C2,34.33
2020-10-18,02:00:00,Trelew,"Chacra 1234 - Luteria",C2,35.30
2020-10-18,03:00:00,Trelew,"Chacra 1234 - Luteria",C2,36.36
2020-10-18,04:00:00,Trelew,"Chacra 1234 - Luteria",C2,34.72
2020-10-19,00:00:00,Trelew,"Chacra 1234 - Luteria",C2,34.39
2020-10-19,01:00:00,Trelew,"Chacra 1234 - Luteria",C2,35.23
2020-10-19,02:00:00,Trelew,"Chacra 1234 - Luteria",C2,35.79
2020-10-19,03:00:00,Trelew,"Chacra 1234 - Luteria",C2,34.18
2020-10-19,04:00:00,Trelew,"Chacra 1234 - Luteria",C2,34.49
2020-10-20,00:00:00,Trelew,"Chacra 1234 - Luteria",C2,35.96
2020-10-20,01:00:00,Trelew,"Chacra 1234 - Luteria",C2,36.19
2020-10-20,02:00:00,Trelew,"Chacra 1234 - Luteria",C2,35.09
2020-10-20,03:00:00,Trelew,"Chacra 1234 - Luteria",C2,36.96
2020-10-20,04:00:00,Trelew,"Chacra 1234 - Luteria",C2,43.10
2020-10-20,04:00:00,Trelew,"Chacra 1234 - Luteria",C2,35.32
2020-10-21,00:00:00,Trelew,"Chacra 1234 - Luteria",C2,34.67
2020-10-21,01:00:00,Trelew,"Chacra 1234 - Luteria",C2,34.16
2020-10-21,02:00:00,Trelew,"Chacra 1234 - Luteria",C2,36.55
2020-10-21,03:00:00,Trelew,"Chacra 1234 - Luteria",C2,34.81
2020-10-21,04:00:00,Trelew,"Chacra 1234 - Luteria",C2,35.23
2020-10-22,00:00:00,Trelew,"Chacra 1234 - Luteria",C2,34.47
2020-10-22,01:00:00,Trelew,"Chacra 1234 - Luteria",C2,35.53
2020-10-22,02:00:00,Trelew,"Chacra 1234 - Luteria",C2,34.76
2020-10-22,03:00:00,Trelew,"Chacra 1234 - Luteria",C2,36.10
2020-10-22,04:00:00,Trelew,"Chacra 1234 - Luteria",C2,35.55
2020-10-23,00:00:00,Trelew,"Chacra 1234 - Luteria",C2,34.83
2020-10-23,01:00:00,Trelew,"Chacra 1234 - Luteria",C2,35.12
2020-10-23,02:00:00,Trelew,"Chacra 1234 - Luteria",C2,36.51
2020-10-23,03:00:00,Trelew,"Chacra 1234 - Luteria",C2,34.20
2020-10-23,04:00:00,Trelew,"Chacra 1234 - Luteria",C2,35.03
2020-10-24,00:00:00,Trelew,"Chacra 1234 - Luteria",C2,36.10
2020-10-24,01:00:00,Trelew,"Chacra 1234 - Luteria",C2,36.11
2020-10-24,02:00:00,Trelew,"Chacra 1234 - Luteria",C2,35.53
2020-10-24,03:00:00,Trelew,"Chacra 1234 - Luteria",C2,35.03
2020-10-24,04:00:00,Trelew,"Chacra 1234 - Luteria",C2,36.56
2020-10-25,00:00:00,Trelew,"Chacra 1234 - Luteria",C2,36.82
2020-10-25,01:00:00,Trelew,"Chacra 1234 - Luteria",C2,35.08
2020-10-25,02:00:00,Trelew,"Chacra 1234 - Luteria",C2,35.52
2020-10-25,03:00:00,Trelew,"Chacra 1234 - Luteria",C2,36.18
2020-10-25,04:00:00,Trelew,"Chacra 1234 - Luteria",C2,35.21
2020-10-26,00:00:00,Trelew,"Chacra 1234 - Luteria",C2,34.64
2020-10-26,01:00:00,Trelew,"Chacra 1234 - Luteria",C2,35.58
2020-10-26,02:00:00,Trelew,"Chacra 1234 - Luteria",C2,35.17
2020-10-26,03:00:00,Trelew,"Chacra 1234 - Luteria",C2,34.48
2020-10-26,04:00:00,Trelew,"Chacra 1234 - Luteria",C2,34.41
2020-10-27,00:00:00,Trelew,"Chacra 1234 - Luteria",C2,33.50
2020-10-27,00:00:00,Trelew,"Chacra 1234 - Luteria",C2,36.50
2020-10-27,01:00:00,Trelew,"Chacra 1234 - Luteria",C2,35.25
2020-10-27,02:00:00,Trelew,"Chacra 1234 - Luteria",C2,36.01
2020-10-27,03:00:00,Trelew,"Chacra 1234 - Luteria",C2,35.14
2020-10-27,04:00:00,Trelew,"Chacra 1234 - Luteria",C2,35.69
2020-10-28,00:00:00,Trelew,"Chacra 1234 - Luteria",C2,34.45
2020-10-28,01:00:00,Trelew,"Chacra 1234 - Luteria",C2,36.59
2020-10-28,02:00:00,Trelew,"Chacra 1234 - Luteria",C2,36.81
2020-10-28,03:00:00,Trelew,"Chacra 1234 - Luteria",C2,35.24
2020-10-28,04:00:00,Trelew,"Chacra 1234 - Luteria",C2,36.32
2020-10-29,00:00:00,Trelew,"Chacra 1234 - Luteria",C2,36.43
2020-10-29,01:00:00,Trelew,"Chacra 1234 - Luteria",C2,34.53
2020-10-29,02:00:00,Trelew,"Chacra 1234 - Luteria",C2,36.92
2020-10-29,03:00:00,Trelew,"Chacra 1234 - Luteria",C2,36.52
2020-10-29,04:00:00,Trelew,"Chacra 1234 - Luteria",C2,35.30
2020-10-30,00:00:00,Trelew,"Chacra 1234 - Luteria",C2,34.97
2020-10-30,01:00:00,Trelew,"Chacra 1234 - Luteria",C2,36.49
2020-10-30,02:00:00,Trelew,"Chacra 1234 - Luteria",C2,35.08
2020-10-30,03:00:00,Trelew,"Chacra 1234 - Luteria",C2,35.45
2020-10-30,04:00:00,Trelew,"Chacra 1234 - Luteria",C2,36.25
2020-10-31,00:00:00,Trelew,"Chacra 1234 - Luteria",C2,36.14
2020-10-31,01:00:00,Trelew,"Chacra 1234 - Luteria",C2,36.47
2020-10-31,02:00:00,Trelew,"Chacra 1234 - Luteria",C2,34.08
2020-10-31,03:00:00,Trelew,"Chacra 1234 - Luteria",C2,35.29
2020-10-31,04:00:00,Trelew,"Chacra 1234 - Luteria",C2,44.73
2020-10-31,04:00:00,Trelew,"Chacra 1234 - Luteria",C2,34.24
2020-10-05,00:00:00,Trelew,"Chacra 1234 - Luteria",C3,34.22
2020-10-05,01:00:00,Trelew,"Chacra 1234 - Luteria",C3,34.94
2020-10-05,02:00:00,Trelew,"Chacra 1234 - Luteria",C3,34.79
